FID,OBJECTID,STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,GEOID_Data,GEOID_NUM,FIN_NAME,DIST_NAME,DIST_PLAN,DIST_CODE,DIST_DPFSC,EN_07,EN_08,EN_09,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,F5_NUM_CHG,PPR,PPR MLO,PPR (Includes MLO),MLO Sharing (%),F5_YEAR_GR,POP_TOT,POP_POV,K12_POV,HH_INCOME,ELEM_POP,MIDDLE_POP,HIGH_POP,K12_POP,PERCENT_MINORITY,FRL_PERCENT,ELL_PERCENT,IEP_PERCENT,POV_P,ELEM_QUAL,MIDDLE_QUA,HIGH_QUAL,ELEM_NEED,MI_NEED,HIGH_NEED,Shape__Area,Shape__Length
120,969,8,4980,804980,Kim Reorganized School District 88,0,PK,12,G5420, ,E,3640066724,29631,37.3787624,-103.3875742,2.948395998,0.370133224,97000US0804980,804980,KIM,KIM REORGANIZED 88,Distinction,1760,81,63,63,61,58,57,51,46,48,49,54,3,14508,3868,18376,N/A,5.9,331,7,0,47500,25,13,25,64,0.0926,0.541666667,0,0,0,23,15,0,2,-2,25,5769092821,367848.5036
121,970,8,5010,805010,Kiowa School District C-2,0,PK,12,G5420, ,E,868418710,81700,39.3696118,-104.3429014,2.0036969,0.090784278,97000US0805010,805010,KIOWA,KIOWA C-2,Accredited,930,58,368,376,383,371,393,383,344,287,286,277,-106,11253,0,11253,N/A,-27.7,2612,170,44,83993,208,80,185,472,0.1733,0.392996109,0.025270758,0.126353791,0.0932,120,0,90,88,80,95,1455335548,253584.7145
122,971,8,5040,805040,Kit Carson School District R-1,0,KG,12,G5420, ,E,2269125887,7879175,38.8380923,-102.8880029,2.117490648,0.236215341,97000US0805040,805040,KIT CARSON,KIT CARSON R-1,Distinction,510,81,101,103,96,109,120,110,114,108,128,126,16,13857,2863,16721,N/A,14.5,498,35,0,65179,44,26,33,103,0.2222,0.526315789,0.015873016,0.047619048,0,0,0,38,44,26,-5,3757598411,262543.0374
123,972,8,5070,805070,West Grand School District 1-JT,0,KG,12,G5420, ,E,3025537365,30116361,40.0455381,-106.3470168,3.360490662,0.322508244,97000US0805070,805070,WEST GRAND,WEST GRAND 1-JT,Improvement,1340,55,480,457,451,429,423,434,440,422,441,423,-11,9312,1285,10597,N/A,-2.5,3432,530,121,55682,165,185,186,535,0.305,0.494089835,0.101654846,0.104018913,0.2262,0,0,141,165,185,45,5221042522,436798.4598
124,973,8,5100,805100,North Conejos School District RE-1J,0,KG,12,G5420, ,E,1663670394,6888550,37.2696102,-106.2623176,2.802112521,0.169719375,97000US0805100,805100,NORTH CONEJOS,NORTH CONEJOS RE-1J,Distinction,550,69,1130,1075,1051,1030,992,1033,1005,964,977,963,-70,7591,184,7775,N/A,-6.8,4657,877,248,37337,503,230,355,1087,0.5691,0.572170301,0.001038422,0.070612669,0.2282,202,216,292,301,14,63,2643074239,333397.7958
125,974,8,5130,805130,East Otero School District R-1,0,PK,12,G5420, ,E,1881034603,3375724,37.7150414,-103.7224451,2.279156326,0.192784512,97000US0805130,805130,EAST OTERO,EAST OTERO R-1,Priority Improvement,2520,44,1382,1354,1318,1309,1293,1307,1309,1309,1290,1355,48,8003,0,8003,N/A,3.7,8086,2418,642,30862,725,259,519,1503,0.7004,0.755719557,0.025830258,0.157933579,0.4271,0,0,0,725,259,519,3023639671,282483.3448
126,975,8,5160,805160,La Veta School District RE-2,0,PK,12,G5420, ,E,579457297,596465,37.4723858,-105.0459253,1.438971351,0.059076098,97000US0805160,805160,LA VETA,LA VETA RE-2,Accredited,1400,60,289,257,254,223,225,226,191,215,219,220,-6,11541,0,11541,N/A,-2.7,1218,216,34,40476,54,23,26,102,0.2682,0.593457944,0,0.127272727,0.3333,96,0,64,-42,23,-38,922344119.9,177803.8088
127,976,8,5190,805190,Lake County School District R-1,0,PK,12,G5420, ,E,976206802,18111565,39.2053405,-106.350079,1.727453251,0.103687163,97000US0805190,805190,LAKE,LAKE COUNTY R-1,Accredited,1510,61,1218,1256,1208,1188,1224,1167,1110,1093,1074,1033,-134,7996,686,8682,N/A,-11.5,7218,833,169,45367,564,194,362,1119,0.728,0.672395274,0.359148112,0.119070668,0.151,229,205,292,335,-11,70,1658108651,213386.2883
128,977,8,5220,805220,Lamar School District RE-2,0,PK,12,G5420, ,E,1775343486,7471194,37.9306432,-102.567857,2.13794408,0.182691949,97000US0805220,805220,LAMAR,LAMAR RE-2,Improvement,2660,54,1676,1686,1718,1666,1667,1672,1664,1606,1578,1577,-95,7672,0,7672,N/A,-5.7,8941,1653,418,40309,689,508,590,1787,0.5821,0.664591978,0.079264426,0.113506658,0.2339,113,13,421,576,495,169,2870132957,277185.9375
129,978,8,5250,805250,Las Animas School District RE-1,0,PK,12,G5420, ,E,2171698985,51424936,37.8517653,-103.2817414,2.351030868,0.227858301,97000US0805250,805250,LAS ANIMAS,LAS ANIMAS RE-1,Improvement,290,49,544,594,592,547,539,523,492,501,533,1175,652,8014,0,8014,N/A,124.7,2685,669,204,34800,212,112,138,462,0.5413,0.824760244,0.004255319,0.077446809,0.4416,238,127,0,-26,-15,138,3580461745,298748.3741
