LATITUDE,LONGITUDE,DISTRICT_CODE,ADDRESS,CITY,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SCHOOL_LEVEL,ENROLL_16_17,AEC,CHARTER,MINORITY_PERCENT,FRL_PERCENT,SPED_PERCENT,ELL_PERCENT,17_SPF_FINAL,17_SPF_SCORE
38.8655165,-104.8674016,1010,1023 NORTH 31ST STREET,COLORADO SPRINGS,COLORADO SPRINGS 11,4138,HOWBERT ELEMENTARY SCHOOL,E,293,N,N,0.29,0.55,0.13,0.03,Improvement,0.50
39.531514,-104.7659718,8001,10235 PARKGLENN WAY,PARKER,CHARTER SCHOOL INSTITUTE,2196,COLORADO EARLY COLLEGES - PARKER,H,484,N,Y,0.21,N/A,0.01,N/A,Performance,0.79
39.7186772,-104.8692185,180,10251 EAST 1ST AVE,AURORA,ADAMS-ARAPAHOE 28J,458,AURORA ACADEMY CHARTER SCHOOL,E,398,N,Y,0.76,0.57,0.06,0.36,Performance,0.60
39.7186772,-104.8692185,180,10251 EAST 1ST AVE,AURORA,ADAMS-ARAPAHOE 28J,458,AURORA ACADEMY CHARTER SCHOOL,M,147,N,Y,0.76,0.57,0.06,0.36,Performance,0.82
38.979791,-104.5740267,1110,10255 LAMBERT ROAD,PEYTON,FALCON 49,2908,FALCON HIGH SCHOOL,H,1191,N,N,0.31,0.18,0.10,0.01,Performance,0.59
39.8855503,-105.1119133,1420,10255 WEST 104TH DRIVE,WESTMINSTER,JEFFERSON COUNTY R-1,9678,WITT ELEMENTARY SCHOOL,E,322,N,N,0.30,0.42,0.13,0.06,Performance,0.61
39.8855503,-105.1119133,1420,10255 WEST 104TH DRIVE,WESTMINSTER,JEFFERSON COUNTY R-1,9678,WITT ELEMENTARY SCHOOL,M,44,N,N,0.30,0.42,0.13,0.06,Performance,0.61
40.1506594,-104.9576408,470,10290 NEIGHBORS PARKWAY,FIRESTONE,ST VRAIN VALLEY RE 1J,1245,CENTENNIAL ELEMENTARY,E,633,N,N,0.35,0.32,0.15,0.11,Performance,0.58
39.9859992,-105.112629,480,10300 SOUTH BOULDER ROAD,LAFAYETTE,BOULDER VALLEY RE 2,1380,CENTAURUS HIGH SCHOOL,H,1140,N,N,0.40,0.32,0.15,0.11,Improvement,0.63
39.8832469,-105.0008934,20,10335 CROKE DRIVE,NORTHGLENN,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ELEMENTARY SCHOOL,E,489,N,N,0.83,0.84,0.14,0.48,Performance,0.56
39.5274069,-104.935085,900,10345 ARROWWOOD DRIVE,HIGHLANDS RANCH,DOUGLAS COUNTY RE 1,354,ARROWWOOD ELEMENTARY SCHOOL,E,343,N,N,0.30,0.21,0.18,0.08,Performance,0.59
39.5274069,-104.935085,900,10345 ARROWWOOD DRIVE,HIGHLANDS RANCH,DOUGLAS COUNTY RE 1,354,ARROWWOOD ELEMENTARY SCHOOL,M,50,N,N,0.30,0.21,0.18,0.08,Performance,0.59
39.9303699,-105.0593954,480,1035 BIRCH,BROOMFIELD,BOULDER VALLEY RE 2,872,BIRCH ELEMENTARY SCHOOL,E,422,N,N,0.33,0.33,0.16,0.13,Performance,0.80
39.6431175,-105.1123455,1420,10359 W NASSAU AVENUE,DENVER,JEFFERSON COUNTY R-1,2120,D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,H,625,N,N,0.23,0.05,0.01,0.01,Performance,0.92
39.6431175,-105.1123455,1420,10359 W NASSAU AVENUE,DENVER,JEFFERSON COUNTY R-1,2120,D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,M,400,N,N,0.23,0.05,0.01,0.01,Performance,0.56
39.7785151,-105.1139188,1420,10399 WEST 44TH AVENUE,WHEAT RIDGE,JEFFERSON COUNTY R-1,1869,COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,E,254,N,Y,0.19,N/A,0.11,N/A,Performance,0.58
39.7785151,-105.1139188,1420,10399 WEST 44TH AVENUE,WHEAT RIDGE,JEFFERSON COUNTY R-1,1869,COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,M,30,N,Y,0.19,N/A,0.11,N/A,Performance,0.58
39.3688539,-104.7900854,900,104 LOVINGTON STREET,CASTLE ROCK,DOUGLAS COUNTY RE 1,2965,FLAGSTONE ELEMENTARY SCHOOL,E,462,N,N,0.22,0.13,0.12,0.03,Performance,0.65
39.3688539,-104.7900854,900,104 LOVINGTON STREET,CASTLE ROCK,DOUGLAS COUNTY RE 1,2965,FLAGSTONE ELEMENTARY SCHOOL,M,72,N,N,0.22,0.13,0.12,0.03,Performance,0.65
38.2732956,-104.6066015,2700,104 WEST 7TH,PUEBLO,PUEBLO COUNTY 70,8810,THE CONNECT CHARTER SCHOOL,M,269,N,Y,0.39,0.06,N/A,N/A,Performance,0.93
38.0835293,-102.6196128,2660,104 WEST PARK,LAMAR,LAMAR RE-2,4956,LAMAR MIDDLE SCHOOL,M,339,N,N,0.64,0.73,0.11,0.09,Improvement,0.42
38.530206,-106.003306,8001,1040 I STREET,SALIDA,CHARTER SCHOOL INSTITUTE,8061,SALIDA MONTESSORI CHARTER SCHOOL,E,62,N,Y,0.07,0.34,N/A,N/A,Performance,0.75
38.530206,-106.003306,8001,1040 I STREET,SALIDA,CHARTER SCHOOL INSTITUTE,8061,SALIDA MONTESSORI CHARTER SCHOOL,M,21,N,Y,0.07,0.34,N/A,N/A,Performance,0.63
40.176364,-105.1199566,470,1040 SUNSET STREET,LONGMONT,ST VRAIN VALLEY RE 1J,5282,LONGMONT HIGH SCHOOL,H,1294,N,N,0.40,0.43,0.13,0.13,Performance,0.58
39.5296669,-105.3087595,1420,10441 COUNTY HIGHWAY 73,CONIFER,JEFFERSON COUNTY R-1,1886,CONIFER SENIOR HIGH SCHOOL,H,833,N,N,0.12,0.15,0.08,N/A,Performance,0.87
38.4714268,-107.8675837,2180,1045 SOUTH CASCADE,MONTROSE,MONTROSE COUNTY RE-1J,7106,POMONA ELEMENTARY SCHOOL,E,386,N,N,0.35,0.49,0.16,0.08,Priority Improvement,0.41
39.5277902,-104.8065835,900,10450 STONEGATE PARKWAY,PARKER,DOUGLAS COUNTY RE 1,6938,PINE GROVE ELEMENTARY SCHOOL,E,508,N,N,0.23,0.05,0.13,0.03,Performance,0.77
39.5277902,-104.8065835,900,10450 STONEGATE PARKWAY,PARKER,DOUGLAS COUNTY RE 1,6938,PINE GROVE ELEMENTARY SCHOOL,M,84,N,N,0.23,0.05,0.13,0.03,Performance,0.77
39.753318,-104.8664583,180,10455 EAST 25TH AVENUE,AURORA,ADAMS-ARAPAHOE 28J,2998,FLETCHER COMMUNITY SCHOOL,E,368,N,N,0.98,0.86,0.17,0.65,Performance,0.62
